participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.request,group.id_in_subsession,group.total_requests,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
2,jwin3u3h,,0,9,8,bargaining,Results,2023-11-19 12:25:01.045222,1,,,90.0,2,,50.0,50.0,1,100.0,2,m06xwls1,,,,,1
1,nujdwmxo,,0,9,8,bargaining,Results,2023-11-19 12:25:37.095824,1,,,100.0,1,,50.0,50.0,1,100.0,1,rswopioh,,,,,1
2,69bldrp9,,0,9,8,bargaining,Results,2023-11-19 12:25:37.099877,1,,,100.0,2,,50.0,50.0,1,100.0,1,rswopioh,,,,,1
1,nujdwmxo,,0,9,8,bargaining,Results,2023-11-19 12:25:37.095824,1,,,100.0,1,,50.0,50.0,1,100.0,2,rswopioh,,,,,1
2,69bldrp9,,0,9,8,bargaining,Results,2023-11-19 12:25:37.099877,1,,,100.0,2,,50.0,50.0,1,100.0,2,rswopioh,,,,,1
1,i08s31u8,,0,9,8,bargaining,Results,2023-11-19 12:26:01.331638,1,,,105.0,1,,55.0,55.0,1,100.0,1,kkfnmmk0,,,,,1
2,iqja51vw,,0,9,8,bargaining,Results,2023-11-19 12:26:01.335742,1,,,95.0,2,,45.0,45.0,1,100.0,1,kkfnmmk0,,,,,1
1,i08s31u8,,0,9,8,bargaining,Results,2023-11-19 12:26:01.331638,1,,,105.0,1,,50.0,50.0,1,100.0,2,kkfnmmk0,,,,,1
2,iqja51vw,,0,9,8,bargaining,Results,2023-11-19 12:26:01.335742,1,,,95.0,2,,50.0,50.0,1,100.0,2,kkfnmmk0,,,,,1
1,qru2rl62,,0,9,8,bargaining,Results,2023-11-19 12:26:27.019652,1,,,85.0,1,,40.0,40.0,1,95.0,1,r1kv7zcx,,,,,1
2,3baod5lz,,0,9,8,bargaining,Results,2023-11-19 12:26:27.023690,1,,,100.0,2,,55.0,55.0,1,95.0,1,r1kv7zcx,,,,,1
1,qru2rl62,,0,9,8,bargaining,Results,2023-11-19 12:26:27.019652,1,,,85.0,1,,45.0,45.0,1,90.0,2,r1kv7zcx,,,,,1
2,3baod5lz,,0,9,8,bargaining,Results,2023-11-19 12:26:27.023690,1,,,100.0,2,,45.0,45.0,1,90.0,2,r1kv7zcx,,,,,1
1,i6qn8im9,,0,9,8,bargaining,Results,2023-11-19 12:27:21.504281,1,,,100.0,1,,50.0,50.0,1,100.0,1,fh8d4kqm,,,,,1
2,ufxdx4n1,,0,9,8,bargaining,Results,2023-11-19 12:27:21.507663,1,,,100.0,2,,50.0,50.0,1,100.0,1,fh8d4kqm,,,,,1
1,i6qn8im9,,0,9,8,bargaining,Results,2023-11-19 12:27:21.504281,1,,,100.0,1,,50.0,50.0,1,100.0,2,fh8d4kqm,,,,,1
2,ufxdx4n1,,0,9,8,bargaining,Results,2023-11-19 12:27:21.507663,1,,,100.0,2,,50.0,50.0,1,100.0,2,fh8d4kqm,,,,,1
1,7xrafn9c,,0,9,8,bargaining,Results,2023-11-19 12:29:06.978718,1,,,100.0,1,,50.0,50.0,1,100.0,1,yguv00n5,,,,,1
2,8frhi09f,,0,9,8,bargaining,Results,2023-11-19 12:29:06.983668,1,,,100.0,2,,50.0,50.0,1,100.0,1,yguv00n5,,,,,1
1,7xrafn9c,,0,9,8,bargaining,Results,2023-11-19 12:29:06.978718,1,,,100.0,1,,50.0,50.0,1,100.0,2,yguv00n5,,,,,1
2,8frhi09f,,0,9,8,bargaining,Results,2023-11-19 12:29:06.983668,1,,,100.0,2,,50.0,50.0,1,100.0,2,yguv00n5,,,,,1
1,44zyc0ip,,0,9,8,bargaining,Results,2023-11-19 12:29:28.035430,1,,,45.0,1,,45.0,45.0,1,100.0,1,stkrqvmp,,,,,1
2,v8b750ka,,0,9,8,bargaining,Results,2023-11-19 12:29:28.039508,1,,,55.0,2,,55.0,55.0,1,100.0,1,stkrqvmp,,,,,1
1,44zyc0ip,,0,9,8,bargaining,Results,2023-11-19 12:29:28.035430,1,,,45.0,1,,0.0,55.0,1,110.0,2,stkrqvmp,,,,,1
