participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.request,group.id_in_subsession,group.total_requests,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
2,ld6agokm,,0,0,8,,,,0,,,0.0,2,,0.0,,1,,2,q1guki1f,,,,,1
1,93ktvdu8,,0,9,8,bargaining2,Results,2023-11-19 12:11:12.816765,1,,,0.0,1,,50.0,50.0,1,100.0,1,u57fxf5i,,,,,1
2,gdbb6pfo,,0,9,8,bargaining2,Results,2023-11-19 12:11:12.820321,1,,,0.0,2,,50.0,50.0,1,100.0,1,u57fxf5i,,,,,1
1,93ktvdu8,,0,9,8,bargaining2,Results,2023-11-19 12:11:12.816765,1,,,0.0,1,,-50.0,55.0,1,115.0,2,u57fxf5i,,,,,1
2,gdbb6pfo,,0,9,8,bargaining2,Results,2023-11-19 12:11:12.820321,1,,,0.0,2,,-50.0,60.0,1,115.0,2,u57fxf5i,,,,,1
1,8no8yq5x,,0,9,8,bargaining2,Results,2023-11-19 12:11:44.195732,1,,,-10.0,1,,-50.0,60.0,1,120.0,1,en40n898,,,,,1
2,nukwn4e2,,0,9,8,bargaining2,Results,2023-11-19 12:11:44.202273,1,,,-5.0,2,,-50.0,60.0,1,120.0,1,en40n898,,,,,1
1,8no8yq5x,,0,9,8,bargaining2,Results,2023-11-19 12:11:44.195732,1,,,-10.0,1,,40.0,40.0,1,85.0,2,en40n898,,,,,1
2,nukwn4e2,,0,9,8,bargaining2,Results,2023-11-19 12:11:44.202273,1,,,-5.0,2,,45.0,45.0,1,85.0,2,en40n898,,,,,1
1,4j3o8i28,,0,9,8,bargaining2,Results,2023-11-19 12:12:05.123598,1,,,-100.0,1,,-50.0,55.0,1,105.0,1,6mn5em40,,,,,1
2,3xw3jrug,,0,9,8,bargaining2,Results,2023-11-19 12:12:05.130451,1,,,-100.0,2,,-50.0,50.0,1,105.0,1,6mn5em40,,,,,1
1,4j3o8i28,,0,9,8,bargaining2,Results,2023-11-19 12:12:05.123598,1,,,-100.0,1,,-50.0,55.0,1,105.0,2,6mn5em40,,,,,1
2,3xw3jrug,,0,9,8,bargaining2,Results,2023-11-19 12:12:05.130451,1,,,-100.0,2,,-50.0,50.0,1,105.0,2,6mn5em40,,,,,1
1,rre04ga1,,0,9,8,bargaining2,Results,2023-11-19 12:12:53.958792,1,,,-10.0,1,,-50.0,70.0,1,120.0,1,ff5lxavk,,,,,1
2,2827wkoa,,0,9,8,bargaining2,Results,2023-11-19 12:12:53.965245,1,,,0.0,2,,-50.0,50.0,1,120.0,1,ff5lxavk,,,,,1
